era_name,western_year,q1_stocks,q2_stocks,q3_stocks,q4_stocks,n_questions,avg_stocks,dati_rate
洪武四年,1371,2,,,1,2.00,1.00
建文二年,1400,4,2,2,3,4,2.75,0.75
永樂十三年,1415,2,3,4,1,4,2.50,0.75
宣德五年,1430,4,5,7,2,4,4.50,1.00
宣德八年,1433,3,6,4,2,4,3.75,1.00
正統元年,1436,3,3,2,3,4,2.75,1.00
正統四年,1439,3,2,2,6,4,3.25,1.00
正統七年,1442,4,2,3,4,4,3.25,1.00
正統十年,1445,8,3,2,3,4,4.00,1.00
正統十三年,1448,3,3,1,6,4,3.25,0.75
景泰二年,1451,10,2,7,4,4,5.75,1.00
景泰五年,1454,6,4,2,2,4,3.50,1.00
天順元年,1457,8,5,4,2,4,4.75,1.00
天順四年,1460,4,6,1,4,4,3.75,0.75
天順七年,1463,4,3,3,4,4,3.50,1.00
成化二年,1466,1,4,6,2,4,3.25,0.75
成化五年,1469,2,2,2,6,4,3.00,1.00
成化八年,1472,1,4,2,6,4,3.25,0.75
成化十一年,1475,1,6,4,1,4,3.00,0.75
成化十四年,1478,5,2,1,1,4,2.25,0.50
成化十七年,1481,3,2,3,1,4,2.25,0.75
成化二十年,1484,1,2,1,1,4,1.25,0.25
弘治三年,1490,2,2,2,2,4,2.00,1.00
弘治六年,1493,2,1,1,2,4,1.50,0.50
弘治九年,1496,3,2,1,5,4,2.75,0.75
弘治十二年,1499,2,1,3,1,4,1.75,0.50
弘治十五年,1502,2,1,1,1,4,1.25,0.25
弘治十八年,1505,1,1,2,6,4,2.50,0.50
正德三年,1508,1,3,2,1,4,1.75,0.50
正德六年,1511,2,4,2,6,4,3.50,1.00
正德九年,1514,2,5,1,2,4,2.50,0.75
正德十二年,1517,1,3,1,1,4,1.50,0.50
正德十五年,1520,4,2,2,1,4,2.25,0.75
嘉靖二年,1523,3,1,1,2,4,1.75,0.50
嘉靖五年,1526,2,2,1,2,4,1.75,0.75
嘉靖八年,1529,,1,1,1,3,1.00,0.00
嘉靖十一年,1532,1,2,1,3,4,1.75,0.50
嘉靖十四年,1535,1,1,1,1,4,1.00,0.00
嘉靖十七年,1538,2,1,1,1,4,1.25,0.25
嘉靖二十年,1541,1,1,1,2,4,1.25,0.25
隆慶二年,1568,1,1,2,2,4,1.50,0.50
隆慶五年,1571,4,1,1,1,4,1.75,0.25
萬曆二年,1574,1,2,1,2,4,1.50,0.50
萬曆五年,1577,1,1,1,3,4,1.50,0.25
萬曆八年,1580,1,3,2,1,4,1.75,0.75
萬曆十一年,1583,1,2,1,2,4,1.50,0.50
萬曆十四年,1586,3,1,2,1,4,1.75,0.75
萬曆十七年,1589,,1,,,1,1.00,0.00
